"code","disease"
"S96","Injury of muscle and tendon at ankle and foot level"
"S97","Crushing injury of ankle and foot"
"S98","Traumatic amputation of ankle and foot"
"S99","Other and unspecified injuries of ankle and foot"
"T00","Superficial injuries involving multiple body regions"
"T01","Open wounds involving multiple body regions"
"T02","Fractures involving multiple body regions"
"T03","Dislocations, sprains, and strains involving multiple body regions"
"T04","Crushing injuries involving multiple body regions"
"T05","Traumatic amputations involving multiple body regions"
"T06","Other injuries involving multiple body regions, not elsewhere classified"
"T07","Unspecified multiple injuries"
"T08","Fracture of spine, level unspecified"
"T09","Other injuries of spine and trunk, level unspecified"
"T10","Fracture of upper limb, level unspecified"
"T11","Other injuries of upper limb, level unspecified"
"T12","Fracture of lower limb, level unspecified"
"T13","Other injuries of lower limb, level unspecified"
"T14","Injury of unspecified body region"
"T15","Foreign body on external eye"
"T16","Foreign body in ear"
"T17","Foreign body in respiratory tract"
"T18","Foreign body in alimentary tract"
"T19","Foreign body in genitourinary tract"
"T20","Burn and corrosion of head and neck"
"T21","Burn and corrosion of trunk"
"T22","Burn and corrosion of shoulder and upper limb except wrist and hand"
"T23","Burn and corrosion of wrist and hand"
"T24","Burn and corrosion of hip and lower limb except ankle and foot"
"T25","Burn and corrosion of ankle and foot"
"T26","Burn and corrosion confined to eye and adnexa"
"T27","Burn and corrosion of respiratory tract"
"T28","Burn and corrosion of other internal organs"
"T30","Burn and corrosion, body region unspecified"
"T31","Burns classified according to extent of body surface involved"
"T32","Corrosions classified according to extent of body surface involved"
"T33","Superficial frostbite"
"T34","Frostbite with tissue necrosis"
"T35","Frostbite involving multiple body regions and unspecified frostbite"
"T36","Poisoning by systemic antibiotics"
"T37","Poisoning by other systemic anti_infectives and antiparasitics"
"T38","Poisoning by hormones and their synthetic substitutes and antagonists, not elsewhere classified"
"T39","Poisoning by nonopioid analgesics, antipyretics, and antirheumatics"
"T40","Poisoning by narcotics and psychodysleptics [hallucinogens]"
"T41","Poisoning by anesthetics and therapeutic gases"
"T42","Poisoning by antiepileptic, sedative-hypnotic, and antiparkinsonism drugs"
"T43","Poisoning by psychotropic drugs, not elsewhere classified"
"T44","Poisoning by drugs primarily affecting the autonomic nervous system"
"T45","Poisoning by primarily systemic and hematological agents, not elsewhere classified"
"T46","Poisoning by agents primarily affecting the cardiovascular system"
"T47","Poisoning by agents primarily affecting the gastrointestinal system"
"T48","Poisoning by agents primarily acting on smooth and skeletal muscles and the respiratory system"
"T49","Poisoning by topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinolaryngological, and dental drugs"
"T50","Poisoning by diuretics and other and unspecified drugs, medicaments, and biological substances"
"T51","Toxic effect of alcohol"
"T52","Toxic effect of organic solvents"
"T53","Toxic effect of halogen derivatives of aliphatic and aromatic hydrocarbons"
"T54","Toxic effect of corrosive substances"
"T55","Toxic effect of soaps and detergents"
"T56","Toxic effect of metals"
"T57","Toxic effect of other inorganic substances"
"T58","Toxic effect of carbon monoxide"
"T59","Toxic effect of other gases, fumes, and vapors"
"T60","Toxic effect of pesticides"
"T61","Toxic effect of noxious substances eaten as seafood"
"T62","Toxic effect of other noxious substances eaten as food"
"T63","Toxic effect of contact with venomous animals"
"T64","Toxic effect of aflatoxin and other mycotoxin food contaminants"
"T65","Toxic effect of other and unspecified substances"
"T66","Unspecified effects of radiation"
"T67","Effects of heat and light"
"T68","Hypothermia"
"T69","Other effects of reduced temperature"
"T70","Effects of air pressure and water pressure"
"T71","Asphyxiation"
"T73","Effects of other deprivation"
"T74","Maltreatment syndrome"
"T75","Effects of other external causes"
"T78","Adverse effects, not elsewhere classified"
"T79","Certain early complications of trauma"
"T79","Certain early complications of trauma, not elsewhere classified"
"T80","Complications following infusion, transfusion, and therapeutic injection"
"T81","Complications of procedures, not elsewhere classified"
"T82","Complications of cardiac and vascular prosthetic devices, implants, and grafts"
"T83","Complications of genitourinary prosthetic devices, implants, and grafts"
"T84","Complications of internal orthopedic prosthetic devices, implants, and grafts"
"T85","Complications of other internal prosthetic devices, implants, and grafts"
"T86","Failure and rejection of transplanted organs and tissues"
"T87","Complications peculiar to reattachment and amputation"
"T88","Other complications of surgical and medical care, not elsewhere classified"
"T90","Sequelae of injuries of head"
"T91","Sequelae of injuries of neck and trunk"
"T92","Sequelae of injuries of upper limb"
"T93","Sequelae of injuries of lower limb"
"T94","Sequelae of injuries involving multiple and unspecified body regions"
"T95","Sequelae of burns, corrosions, and frostbite"
"T96","Sequelae of poisoning by drugs, medicaments, and biological substances"
"T97","Sequelae of toxic effects of substances chiefly nonmedicinal as to source"
"T98","Sequelae of other and unspecified effects of external causes"
"U04","Severe acute respiratory syndrome [SARS]"
"V01","Pedestrian injured in collision with pedal cycle"
"V02","Pedestrian injured in collision with two- or three-wheeled motor vehicle  "
"V03","Pedestrian injured in collision with car, pickup truck, or van  "
"V04","Pedestrian injured in collision with heavy transport vehicle or bus  "
"V05","Pedestrian injured in collision with railway train or railway vehicle  "
"V06","Pedestrian injured in collision with other nonmotor vehicle  "
"V09","Pedestrian injured in other and unspecified transport accidents"
"V10","Pedal cyclist injured in collision with pedestrian or animal"
"V11","Pedal cyclist injured in collision with other pedal cycle  "
"V12","Pedal cyclist injured in collision with two- or three-wheeled motor vehicle  "
"V13","Pedal cyclist injured in collision with car, pickup truck, or van  "
"V14","Pedal cyclist injured in collision with heavy transport vehicle or bus  "
"V15","Pedal cyclist injured in collision with railway train or railway vehicle  "
"V16","Pedal cyclist injured in collision with other nonmotor vehicle  "
"V17","Pedal cyclist injured in collision with fixed or stationary object  "
"V18","Pedal cyclist injured in noncollision transport accident  "
"V19","Pedal cyclist injured in other and unspecified transport accidents"
"V20","Motorcycle rider injured in collision with pedestrian or animal"
"V21","Motorcycle rider injured in collision with pedal cycle  "
"V22","Motorcycle rider injured in collision with two- or three-wheeled motor vehicle  "
"V23","Motorcycle rider injured in collision with car, pickup truck, or van "
"V24","Motorcycle rider injured in collision with heavy transport vehicle or bus "
"V25","Motorcycle rider injured in collision with railway train or railway vehicle "
"V26","Motorcycle rider injured in collision with other nonmotor vehicle "
"V27","Motorcycle rider injured in collision with fixed or stationary object "
"V28","Motorcycle rider injured in noncollision transport accident "
"V29","Motorcycle rider injured in other and unspecified transport accidents"
"V30","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal"
"V31","Occupant of three-wheeled motor vehicle injured in collision with pedal cycle "
"V32","Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle "
"V33","Occupant of three-wheeled motor vehicle injured in collision with car, pickup truck, or van "
"V34","Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus "
"V35","Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle "
"V36","Occupant of three-wheeled motor vehicle injured in collison with other nonmotor vehicle "
"V37","Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object "
"V38","Occupant of three-wheeled motor vehicle injured in noncollision transport accident "
"V39","Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents"
"V40","Car occupant injured in collision with pedestrian or animal"
"V41","Car occupant injured in collision with pedal cycle"
"V42","Car occupant injured in collision with two- or three-wheeled motor vehicle"
"V43","Car occupant injured in collision with car, pickup truck, or van"
"V44","Car occupant injured in collision with heavy transport vehicle or bus"
"V45","Car occupant injured in collision with railway train or railway vehicle"
"V46","Car occupant injured in collision with other nonmotor vehicle"
"V47","Car occupant injured in collision with fixed or stationary object"
"V48","Car occupant injured in noncollision transport accident"
"V49","Car occupant injured in other and unspecified transport accidents"
"V50","Occupant of pickup truck or van injured in collision with pedestrian or animal"
"V51","Occupant of pickup truck or van injured in collision with pedal cycle"
"V52","Occupant of pickup truck or van injured in collision with two- or three-wheeled motor vehicle"
"V53","Occupant of pickup truck or van injured in collision with car, pickup truck, or van"
"V54","Occupant of pickup truck or van injured in collision with heavy transport vehicle or bus"
"V55","Occupant of pickup truck or van injured in collision with railway train or railway vehicle"
"V56","Occupant of pickup truck or van injured in collision with other nonmotor vehicle"
"V57","Occupant of pickup truck or van injured in collision with fixed or stationary object"
"V58","Occupant of pickup truck or van injured in noncollision transport accident"
"V59","Occupant of pickup truck or van injured in other and unspecified transport accidents"
"V60","Occupant of heavy transport vehicle injured in collision with pedestrian or animal"
"V61","Occupant of heavy transport vehicle injured in collision with pedal cycle"
"V62","Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle"
"V63","Occupant of heavy transport vehicle injured in collision with car, pickup truck, or van"
"V64","Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus"
"V65","Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle"
"V66","Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle"
"V67","Occupant of heavy transport vehicle injured in collision with fixed or stationary object"
"V68","Occupant of heavy transport vehicle injured in noncollision transport accident"
"V69","Occupant of heavy transport vehicle injured in other and unspecified transport accidents"
"V70","Bus occupant injured in collision with pedestrian or animal"
"V71","Bus occupant injured in collision with pedal cycle"
"V72","Bus occupant injured in collision with two- or three-wheeled motor vehicle"
"V73","Bus occupant injured in collision with car, pickup truck, or van"
"V74","Bus occupant injured in collision with heavy transport vehicle or bus"
"V75","Bus occupant injured in collision with railway train or railway vehicle"
"V76","Bus occupant injured in collision with other nonmotor vehicle"
"V77","Bus occupant injured in collision with fixed or stationary object"
"V78","Bus occupant injured in noncollision transport accident"
"V79","Bus occupant injured in other and unspecified transport accidents"
"V80","Animal-rider or occupant of animal-drawn vehicle injured in transport accident"
"V81","Occupant of railway train or railway vehicle injured in transport accident"
"V82","Occupant of streetcar injured in transport accident"
"V83","Occupant of special vehicle mainly used on industrial premises injured in transport accident"
"V84","Occupant of special vehicle mainly used in agriculture injured in transport accident"
"V85","Occupant of special construction vehicle injured in transport accident"
"V86","Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident"
"V87","Traffic accident of specified type but victim's mode of transport unknown"
"V88","Nontraffic accident of specified type but victim's mode of transport unknown"
"V89","Motor- or nonmotor-vehicle accident, type of vehicle unspecified"
"V90","Accident to watercraft causing drowning and submersion"
"V91","Accident to watercraft causing other injury"
"V92","Water-transport-related drowning and submersion without accident to watercraft"
"V93","Accident onboard watercraft without accident to watercraft, not causing drowning and submersion"
"V94","Other and unspecified water transport accidents"
"V95","Accident to powered aircraft causing injury to occupant"
"V96","Accident to nonpowered aircraft causing injury to occupant"
"V97","Other specified air transport accidents"
"V98","Other specified transport accidents"
"V99","Unspecified transport accident"
"W00","Fall on same level involving ice and snow"
"W01","Fall on same level from slipping, tripping, and stumbling"
"W02","Fall involving ice skates, skis, roller skates, or skateboards"
"W03","Other fall on same level due to collision with, or pushing by, another person"
"W04","Fall while being carried or supported by other persons"
"W05","Fall involving wheelchair"
"W06","Fall involving bed"
"W07","Fall involving chair"
"W08","Fall involving other furniture"
"W09","Fall involving playground equipment"
"W10","Fall on and from stairs and steps"
"W11","Fall on and from ladder"
"W12","Fall on and from scaffolding"
"W13","Fall from, out of, or through building or structure"
"W14","Fall from tree"
"W15","Fall from cliff"
"W16","Diving or jumping into water causing injury other than drowning or submersion"
"W17","Other fall from one level to another"
"W18","Other fall on same level"
"W19","Unspecified fall"
"W20","Struck by thrown, projected, or falling object"
"W21","Striking against or struck by sports equipment"
"W22","Striking against or struck by other objects"
"W23","Caught, crushed, jammed, or pinched in or between objects"
"W24","Contact with lifting and transmission devices, not elsewhere classified"
"W25","Contact with sharp glass"
"W26","Contact with knife, sword, or dagger"
"W27","Contact with nonpowered hand tool"
"W28","Contact with powered lawn mower"
"W29","Contact with other powered hand tools and household machinery"
"W30","Contact with agricultural machinery"
"W31","Contact with other and unspecified machinery"
"W32","Handgun discharge"
"W33","Rifle, shotgun, and larger firearm discharge"
"W34","Discharge from other and unspecified firearms"
"W35","Explosion and rupture of boiler"
"W36","Explosion and rupture of gas cylinder"
"W37","Explosion and rupture of pressurized tire, pipe, or hose"
"W38","Explosion and rupture of other specified pressurized devices"
"W39","Discharge of firework"
"W40","Explosion of other materials"
"W41","Exposure to high pressure jet"
"W42","Exposure to noise"
"W43","Exposure to vibration"
"W44","Foreign body entering into or through eye or natural orifice"
"W45","Foreign body or object entering through skin"
"W46","Contact with hypodermic needle"
"W49","Exposure to other and unspecified inanimate mechanical forces"
"W50","Hit, struck, kicked, twisted, bitten, or scratched by another person"
"W51","Striking against or bumped into by another person"
"W52","Crushed, pushed, or stepped on by crowd or human stampede"
"W53","Bitten by rat"
"W54","Bitten or struck by dog"
"W55","Bitten or struck by other mammals"
"W56","Contact with marine animal"
"W57","Bitten or stung by nonvenomous insect and other nonvenomous arthropods"
"W58","Bitten or struck by crocodile or alligator"
"W59","Bitten or crushed by other reptiles"
"W60","Contact with plant thorns, spines, and sharp leaves"
"W64","Exposure to other and unspecified animate mechanical forces"
"W65","Drowning and submersion while in bathtub"
"W66","Drowning and submersion following fall into bathtub"
"W67","Drowning and submersion while in swimming pool"
"W68","Drowning and submersion following fall into swimming pool"
"W69","Drowning and submersion while in natural water"
"W70","Drowning and submersion following fall into natural water"
"W73","Other specified drowning and submersion"
"W74","Unspecified drowning and submersion"
"W75","Accidental suffocation and strangulation in bed"
"W76","Other accidental hanging and strangulation"
"W77","Threat to breathing due to cave-in, falling earth, and other substances"
"W78","Inhalation of gastric contents"
"W79","Inhalation and ingestion of food causing obstruction of respiratory tract"
"W80","Inhalation and ingestion of other objects causing obstruction of respiratory tract"
"W81","Confined to or trapped in a low-oxygen environment"
"W83","Other specified threats to breathing"
"W84","Unspecified threat to breathing"
"W85","Exposure to electric transmission lines"
"W86","Exposure to other specified electric current"
"W87","Exposure to unspecified electric current"
"W88","Exposure to ionizing radiation"
"W89","Exposure to man_made visible and ultraviolet light"
"W90","Exposure to other nonionizing radiation"
"W91","Exposure to unspecified type of radiation"
"W92","Exposure to excessive heat of man-made origin"
"W93","Exposure to excessive cold of man-made origin"
"W94","Exposure to high and low air pressure and changes in air pressure"
"W99","Exposure to other and unspecified man-made environmental factors"
"X00","Exposure to uncontrolled fire in building or structure"
"X01","Exposure to uncontrolled fire, not in building or structure"
"X02","Exposure to controlled fire in building or structure"
"X03","Exposure to controlled fire, not in building or structure"
"X04","Exposure to ignition of highly flammable material"
"X05","Exposure to ignition or melting of nightwear"
"X06","Exposure to ignition or melting of other clothing and apparel"
"X08","Exposure to other specified smoke, fire, and flames"
"X09","Exposure to unspecified smoke, fire, and flames"
"X10","Contact with hot drinks, food, fats, and cooking oils"
"X11","Contact with hot tap water"
"X12","Contact with other hot fluids"
"X13","Contact with steam and hot vapors"
"X14","Contact with hot air and gases"
"X15","Contact with hot household appliances"
"X16","Contact with hot heating appliances, radiators, and pipes"
"X17","Contact with hot engines, machinery, and tools"
"X18","Contact with other hot metals"
"X19","Contact with other and unspecified heat and hot substances"
"X20","Contact with venomous snakes and lizards"
"X21","Contact with venomous spiders"
"X22","Contact with scorpions"
"X23","Contact with hornets, wasps, and bees"
"X24","Contact with centipedes and venomous millipedes (tropical)"
"X25","Contact with other specified venomous arthropods"
"X26","Contact with venomous marine animals and plants"
"X27","Contact with other specified venomous animals"
"X28","Contact with other specified venomous plants"
"X29","Contact with unspecified venomous animal or plant"
"X30","Exposure to excessive natural heat"
"X31","Exposure to excessive natural cold"
"X32","Exposure to sunlight"
"X33","Victim of lightning"
"X34","Victim of earthquake"
"X35","Victim of volcanic eruption"
"X36","Victim of avalanche, landslide, and other earth movements"
"X37","Victim of cataclysmic storm"
"X38","Victim of flood"
"X39","Exposure to other and unspecified forces of nature"
"X40","Accidental poisoning by and exposure to nonopioid analgesics, antipyretics, and antirheumatics"
"X41","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism, and psychotropic drugs, not elsewhere classified"
"X42","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"
"X43","Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system"
"X44","Accidental poisoning by and exposure to other and unspecified drugs, medicaments, and biological substances"
"X45","Accidental poisoning by and exposure to alcohol"
"X46","Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapors"
"X47","Accidental poisoning by and exposure to other gases and vapors"
"X48","Accidental poisoning by and exposure to pesticides"
"X49","Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances"
"X50","Overexertion and strenuous or repetitive movements"
"X51","Travel and motion"
"X52","Prolonged stay in weightless environment"
"X53","Lack of food"
"X54","Lack of water"
"X57","Unspecified privation"
"X58","Exposure to other specified factors"
"X59","Exposure to unspecified factor"
"X60","Intentional self-poisoning (suicide) by and exposure to nonopioid analgesics, antipyretics, and antirheumatics"
"X61","Intentional self-poisoning (suicide) by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism, and psychotropic drugs, not elsewhere classified"
"X62","Intentional self-poisoning (suicide) by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"
"X63","Intentional self-poisoning (suicide) by and exposure to other drugs acting on the autonomic nervous system"
"X64","Intentional self-poisoning (suicide) by and exposure to other and unspecified drugs, medicaments, and biological substances"
"X65","Intentional self-poisoning (suicide) by and exposure to alcohol"
"X66","Intentional self-poisoning (suicide) by and exposure to organic solvents and halogenated hydrocarbons and their vapors"
"X67","Intentional self-poisoning (suicide) by and exposure to other gases and vapors"
"X68","Intentional self-poisoning (suicide) by and exposure to pesticides"
"X69","Intentional self-poisoning (suicide) by and exposure to other and unspecified chemicals and noxious substances"
"X70","Intentional self-harm (suicide) by hanging, strangulation, and suffocation"
"X71","Intentional self-harm (suicide) by drowning and submersion"
"X72","Intentional self-harm (suicide) by handgun discharge"
"X73","Intentional self-harm (suicide) by rifle, shotgun, and larger firearm discharge"
"X74","Intentional self-harm (suicide) by other and unspecified firearm discharge"
"X75","Intentional self-harm (suicide) by explosive material"
"X76","Intentional self-harm (suicide) by smoke, fire, and flames"
"X77","Intentional self-harm (suicide) by steam, hot vapors, and hot objects"
"X78","Intentional self-harm (suicide) by sharp object"
"X79","Intentional self-harm (suicide) by blunt object"
"X80","Intentional self-harm (suicide) by jumping from a high place"
"X81","Intentional self-harm (suicide) by jumping or lying before moving object"
"X82","Intentional self-harm (suicide) by crashing of motor vehicle"
"X83","Intentional self-harm (suicide) by other specified means"
"X84","Intentional self-harm (suicide) by unspecified means"
"X85","Assault (homicide) by drugs, medicaments, and biological substances"
"X86","Assault (homicide) by corrosive substance"
"X87","Assault (homicide) by pesticides"
"X88","Assault (homicide) by gases and vapors"
"X89","Assault (homicide) by other specified chemicals and noxious substances"
"X90","Assault (homicide) by unspecified chemical or noxious substance"
"X91","Assault (homicide) by hanging, strangulation, and suffocation"
"X92","Assault (homicide) by drowning and submersion"
"X93","Assault (homicide) by handgun discharge"
"X94","Assault (homicide) by rifle, shotgun, and larger firearm discharge"
"X95","Assault (homicide) by other and unspecified firearm discharge"
"X96","Assault (homicide) by explosive material"
"X97","Assault (homicide) by smoke, fire, and flames"
"X98","Assault (homicide) by steam, hot vapors, and hot objects"
"X99","Assault (homicide) by sharp object"
"Y00","Assault (homicide) by blunt object"
"Y01","Assault (homicide) by pushing from high place"
"Y02","Assault (homicide) by pushing or placing victim before moving object"
"Y03","Assault (homicide) by crashing of motor vehicle"
"Y04","Assault (homicide) by bodily force"
"Y05","Sexual assault (homicide) by bodily force"
"Y06","Neglect and abandonment"
"Y07","Other maltreatment syndromes "
"Y08","Assault (homicide) by other specified means"
"Y09","Assault (homicide) by unspecified means"
"Y10","Poisoning by and exposure to nonopioid analgesics, antipyretics, and antirheumatics, undetermined intent"
"Y11","Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism, and psychotropic drugs, not elsewhere classified, undetermined intent"
"Y12","Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"
"Y13","Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent"
"Y14","Poisoning by and exposure to other and unspecified drugs, medicaments, and biological substances, undetermined intent"
"Y15","Poisoning by and exposure to alcohol, undetermined intent"
"Y16","Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapors, undetermined intent"
"Y17","Poisoning by and exposure to other gases and vapors, undetermined intent"
"Y18","Poisoning by and exposure to pesticides, undetermined intent"
"Y19","Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent"
"Y20","Hanging, strangulation, and suffocation, undetermined intent"
"Y21","Drowning and submersion, undetermined intent"
"Y22","Handgun discharge, undetermined intent"
"Y23","Rifle, shotgun, and larger firearm discharge, undetermined intent"
"Y24","Other and unspecified firearm discharge, undetermined intent"
"Y25","Contact with explosive material, undetermined intent"
"Y26","Exposure to smoke, fire, and flames, undetermined intent"
"Y27","Contact with steam, hot vapors, and hot objects, undetermined intent"
"Y28","Contact with sharp object, undetermined intent"
"Y29","Contact with blunt object, undetermined intent"
"Y30","Falling, jumping, or pushed from a high place, undetermined intent"
"Y31","Falling, lying, or running before or into moving object, undetermined intent"
"Y32","Crashing of motor vehicle, undetermined intent"
"Y33","Other specified events, undetermined intent"
"Y34","Unspecified event, undetermined intent"
"Y35","Legal intervention"
"Y36","Operations of war"
"Y40","Adverse effects in therapeutic use, systemic antibiotics"
"Y41","Adverse effects in therapeutic use, other systemic anti-infectives and antiparasitics"
"Y42","Adverse effects in therapeutic use, hormones and their synthetic substitutes and antagonists, not elsewhere classified"
"Y43","Adverse effects in therapeutic use, primarily systemic agents"
"Y44","Adverse effects in therapeutic use, agents primarily affecting blood constituents"
"Y45","Adverse effects in therapeutic use, analgesics, antipyretics, and anti-inflammatory drugs"
"Y46","Adverse effects in therapeutic use, antiepileptics and antiparkinsonism drugs"
"Y47","Adverse effects in therapeutic use, sedatives, hypnotics, and antianxiety drugs"
"Y48","Adverse effects in therapeutic use, anesthetics and therapeutic gases"
"Y49","Adverse effects in therapeutic use, psychotropic drugs, not elsewhere classified"
"Y50","Adverse effects in therapeutic use, central nervous system stimulants, not elsewhere classified"
"Y51","Adverse effects in therapeutic use, drugs primarily affecting the autonomic nervous system"
"Y52","Adverse effects in therapeutic use, agents primarily affecting the cardiovascular system"
"Y53","Adverse effects in therapeutic use, agents primarily affecting the gastrointestinal system"
"Y54","Adverse effects in therapeutic use, agents primarily affecting water balance and mineral and uric acid metabolism"
"Y55","Adverse effects in therapeutic use, agents primarily acting on smooth and skeletal muscles and the respiratory system"
"Y56","Adverse effects in therapeutic use, topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological, and dental drugs"
"Y57","Adverse effects in therapeutic use, other and unspecified drugs and medicaments"
"Y58","Adverse effects in therapeutic use, bacterial vaccines"
"Y59","Adverse effects in therapeutic use, other and unspecified vaccines and biological substances"
"Y60","Unintentional cut, puncture, perforation, or hemorrhage during surgical and medical care"
"Y61","Foreign object accidentally left in body during surgical and medical care"
"Y62","Failure of sterile precautions during surgical and medical care"
"Y63","Failure in dosage during surgical and medical care"
"Y64","Contaminated medical or biological substances"
"Y65","Other misadventures during surgical and medical care"
"Y66","Nonadministration of surgical and medical care"
"Y69","Unspecified misadventure during surgical and medical care"
"Y70","Anesthesiology devices associated with adverse incidents"
"Y71","Cardiovascular devices associated with adverse incidents "
"Y72","Otorhinolaryngological devices associated with adverse incidents "
"Y73","Gastroenterology and urology devices associated with adverse incidents "
"Y74","General hospital and personal-use devices associated with adverse incidents "
"Y75","Neurological devices associated with adverse incidents "
"Y76","Obstetric and gynecological devices associated with adverse incidents "
"Y77","Ophthalmic devices associated with adverse incidents "
"Y78","Radiological devices associated with adverse incidents "
"Y79","Orthopedic devices associated with adverse incidents "
"Y80","Physical medicine devices associated with adverse incidents "
"Y81","General- and plastic-surgery devices associated with adverse incidents "
"Y82","Other and unspecified medical devices associated with adverse incidents "
"Y83","Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
"Y84","Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
"Y85","Sequelae of transport accidents"
"Y86","Sequelae of other accidents"
"Y87","Sequelae of intentional self harm, assault, and events of undetermined intent"
"Y88","Sequelae with surgical and medical care as external cause"
"Y89","Sequelae of other external causes"
